"New Analysis Project","=HYPERLINK(""https://solarwinds.mwenergy.com/ui/perfstack/?presetTime=last5Days&charts=0_Orion.NPM.Interfaces_3634-Orion.NPM.InterfaceTraffic.InAveragebps,0_Orion.NPM.Interfaces_3634-Orion.NPM.InterfaceTraffic.OutAveragebps;"")"
Start,2023-09-27 15:55:12,End,2023-10-02 15:55:12

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 17:55:12,16952770.75,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 17:55:12,110390286,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 18:25:12,24902251.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 18:25:12,96456040,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 18:55:12,23276248,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 18:55:12,120395562.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 19:25:12,16601560.75,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 19:25:12,63100420,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 19:55:12,12747380.333333334,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 19:55:12,37634832,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 20:25:12,16426700.333333334,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 20:25:12,34752201.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 20:55:12,15537224.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 20:55:12,33005452,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 21:25:12,16667373.666666666,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 21:25:12,38802032.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 21:55:12,15835484,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 21:55:12,32831538.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 22:25:12,16202998.25,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 22:25:12,34854233.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 22:55:12,15699903,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 22:55:12,32489780.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 23:25:12,16524411.666666666,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 23:25:12,33618130,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-01 23:55:12,15499272.25,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-01 23:55:12,32568069,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 00:25:12,17233908.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 00:25:12,36393059.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 00:55:12,15519959.666666666,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 00:55:12,32294466.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 01:25:12,16896045,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 01:25:12,33074356.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 01:55:12,15642749,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 01:55:12,32345978,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 02:25:12,17312696,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 02:25:12,33985318.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 02:55:12,18570549,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 02:55:12,32499417,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 03:25:12,16483171,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 03:25:12,33326869.333333332,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 03:55:12,15327430,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 03:55:12,31965364,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 04:25:12,15877847.25,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 04:25:12,33919834.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 04:55:12,17661189,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 04:55:12,32300714,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 05:25:12,16651602.666666666,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 05:25:12,33644384,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 05:55:12,17084749,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 05:55:12,32860632.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 06:25:12,16835277,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 06:25:12,33904970.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 06:55:12,15249006.333333334,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 06:55:12,31813358,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 07:25:12,19039099.75,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 07:25:12,40146220,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 07:55:12,21269172,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 07:55:12,52365150.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 08:25:12,40579557.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 08:25:12,124394485.33333333,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 08:55:12,36335141,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 08:55:12,90434982,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 09:25:12,75942925.33333333,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 09:25:12,139137794.66666666,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 09:55:12,56489325.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 09:55:12,93808266.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 10:25:12,46327154,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 10:25:12,98186818,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 10:55:12,53036394.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 10:55:12,122907648,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 11:25:12,51390705.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 11:25:12,125059626.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 11:55:12,61235978,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 11:55:12,124091678,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 12:25:12,51068790.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 12:25:12,132238970.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 12:55:12,67298722.66666667,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 12:55:12,117669178.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 13:25:12,88568571,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 13:25:12,121814394,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 13:55:12,69447509.33333333,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 13:55:12,137003034.66666666,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 14:25:12,61222312,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 14:25:12,149463520,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 14:55:12,64519878,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 14:55:12,124202750,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 15:25:12,71313778.66666667,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 15:25:12,136705226.66666666,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-10-02 15:55:12,66048041.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-10-02 15:55:12,112082368,,

